# Omega_0                   delta_crit
8.512697540299799318e-03 1.643532376114072324e+00
1.144925296672500044e-02 1.646202281663110112e+00
1.335202275515300074e-02 1.647587328921256811e+00
1.501766976069199983e-02 1.648646402658627386e+00
1.655683320191499858e-02 1.649525406275495154e+00
1.801417409999800032e-02 1.650285390645913397e+00
1.941310339050299899e-02 1.650959154927605255e+00
2.076771836427999951e-02 1.651566813687683100e+00
2.208728643351999879e-02 1.652121778758643744e+00
2.337828321811200039e-02 1.652633528197649637e+00
2.464535347343600052e-02 1.653109021656363531e+00
2.589226185214000067e-02 1.653553659104316509e+00
2.712170108734900109e-02 1.653971578727293057e+00
2.833588909894500102e-02 1.654366120001931284e+00
2.953662411499000107e-02 1.654740002600521231e+00
3.072538734958300127e-02 1.655095475236099123e+00
3.190341554360900250e-02 1.655434421530564082e+00
3.307175351565300181e-02 1.655758437172680786e+00
3.423129306423600138e-02 1.656068887346606733e+00
3.538280231469399795e-02 1.656366950266603855e+00
3.652694822838500194e-02 1.656653650715975257e+00
3.766431412323999889e-02 1.656929886257608509e+00
3.879541349191800020e-02 1.657196447980918252e+00
3.992070102937499837e-02 1.657454037113816003e+00
4.104058152795100195e-02 1.657703278462691499e+00
4.215541712225599758e-02 1.657944731389164206e+00
4.326553324239300335e-02 1.658178898852570082e+00
4.437122354572099747e-02 1.658406234918070821e+00
4.547275403289600254e-02 1.658627151036140113e+00
4.657036650660899973e-02 1.658842021329753447e+00
4.766428149793199703e-02 1.659051187074058298e+00
4.875470075391200031e-02 1.659254960513214083e+00
4.984180936655700084e-02 1.659453628130515224e+00
5.092577760438000284e-02 1.659647453464175415e+00
5.200676249430299936e-02 1.659836679543034821e+00
5.308490919190000240e-02 1.660021531002417561e+00
5.416035218139399893e-02 1.660202215931161129e+00
5.523321631862800063e-02 1.660378927488153966e+00
5.630361775458800344e-02 1.660551845324689690e+00
5.737166474177699677e-02 1.660721136837922440e+00
5.843745835528099675e-02 1.660886958281526438e+00
5.950109312472799672e-02 1.661049455750502890e+00
6.056265760326400016e-02 1.661208766059133035e+00
6.162223487129799698e-02 1.661365017524303100e+00
6.267990298881499778e-02 1.661518330667077104e+00
6.373573540098000090e-02 1.661668818842407580e+00
6.452665402727099375e-02 1.661779924473826719e+00
